customer_id,sex,customer_age,tenure
2093,Male,50,101
12817,Male,41,102
14309,Female,38,103
15155,Male,43,104
23205,Male,42,105
25012,Male,49,106
27083,Female,35,107
27867,Male,39,108
28749,Male,37,109
9221863,Female,44,98
8134763,Female,30,104
10728179,Male,35,75
8181525,Male,31,104
8977465,Male,41,99
4171055,Male,38,117
10121204,Male,32,87
11346531,Female,39,66
845229,Male,72,129
268289,Male,39,130
10029579,Male,38,89
828364,Male,47,129
27867,Male,38,131
10129007,Male,33,87
25012,Male,48,131
11451181,Male,40,64
10606589,Male,35,77
10704295,Male,50,75
12066075,Male,32,58
5299539,Male,37,113
12389167,Female,54,54
9826621,Male,28,93
4874051,Male,75,114
8898393,Male,34,100
5283775,Male,37,113
10314339,Male,32,83
7913045,Male,29,105
4355858,Female,46,117
11042017,Male,28,71
4187435,Female,31,117
10676477,Male,35,76
9976659,Male,44,90
11533263,Male,35,64
8343811,Male,42,103
1059135,Male,36,127
10592477,Male,31,77
8053591,Male,39,105
11880211,Male,27,60
7884767,Female,39,105
10582173,Male,50,77
11702448,Male,32,62
